"GF","W","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","MaxPd","MaxV2d","MaxV3d","MaxM2d","MaxM3d","MaxTd","MaxPc","MaxV2c","MaxV3c","MaxM2c","MaxM3c","MaxTc","U1","U2","U3","R1","R2","R3"
"2","215455.86327156","11455.06908645","18199.813689085","18256.867168061","20333.529445231","19359.993045129","20239.529830406","21527.66994835","22789.422436574","19100.502479738","18039.75078223","15033.1111879","11120.604172407","4274313.4725366","1778566.6167757","218489.64370676","72141954.582558","587595784.28922","2269844.9207427","4721323.3841557","32081.242307983","82170.453532807","74569686.581021","16088247.803194","18607320.141786","0.004582783","0.00095613","-0.003302354","1.872E-6","6.099E-6","6.099E-6"
"1","207553.39096582","8914.118447034","17351.454617046","15775.40894167","22824.91375026","18962.781931","19483.317087946","21392.4802766","19951.559423189","19283.914394838","15607.934339356","18931.404720863","9074.103036014","4265215.1183676","1771296.0696587","216208.47388763","71123663.065026","585630885.09602","2245024.8596515","4714420.6940034","30851.466794454","78732.321475213","71449581.738755","15198372.106212","17624492.455143","0.004391033","0.000906327","-0.003302354","1.788E-6","5.777E-6","5.777E-6"
"4","219323.20523963","10256.556106678","18701.477815299","15523.539853216","20557.958225367","20125.952160963","21183.249204612","22322.695388592","20410.534148514","21419.399292482","19029.609992312","18429.211831555","11363.021220042","16992557.114772","4691254.5940695","875271.42188765","711308405.27606","1440268884.6782","27648807.02003","9319160.84486","3876417.3065627","601950.59758539","328557711.33898","1193829098.7629","18476281.395762","0.187012539","1.517861737","0.000330121","0.00172544","6.056E-6","6.056E-6"
"4","208832.31566751","9104.317179893","18128.734061545","14944.806494796","19871.794960219","23058.77572945","20649.919821544","19359.982881056","22576.233612956","18827.607322044","15298.829314339","15890.034188813","11121.280100854","16988225.900625","4692468.585199","875585.33205799","711645068.68997","1439783566.8564","27651205.035383","9317442.5829624","3876025.2479886","602484.11637605","328889382.18744","1193727375.3237","18625971.567314","0.187042294","1.517841806","0.000330122","0.001725378","6.105E-6","6.105E-6"
"2","212384.96870193","10388.784208176","17031.856757301","18554.490061142","21706.240996792","19159.05905982","20904.136352844","18774.544343729","20642.354203006","22691.559462949","14987.038136172","18959.245636131","8585.659483867","4268665.6109613","1770560.5908669","216243.55195788","70796409.097915","586167162.49056","2242525.1775112","4715949.1914729","31240.613538439","79110.940609673","71793178.603277","15404778.583605","17544968.365634","0.004412149","0.000926041","-0.003302354","1.814E-6","5.751E-6","5.751E-6"
"3","209118.45576046","9566.669018033","16668.795857459","18594.700102449","21778.478823205","18752.434777381","18797.354186216","19724.926223537","21302.555351124","22734.599261278","16250.344684395","16724.673149686","8222.924325694","4270281.3298013","1772068.9013991","216574.17226861","71121936.589938","586252685.76373","2248720.4365701","4715107.1430869","31104.2525619","79554.236101321","72195469.261947","15414312.259936","17771959.741436","0.004436872","0.000939845","-0.003302354","1.845E-6","5.825E-6","5.825E-6"
"4","214652.47203242","11603.435399557","16773.262602301","19088.296637944","19825.642136227","21707.189973995","21296.87687651","19910.249034442","19909.729241713","21677.04105247","18334.08351379","15123.059973713","9403.605589754","16993616.357742","4690317.7966426","875280.57620165","711348885.39025","1439912381.7135","27644243.709486","9316270.1493296","3876231.997114","600548.15305471","327685858.32271","1193901913.0745","18249742.526853","0.186934322","1.517873799","0.00033012","0.001725466","5.982E-6","5.982E-6"
"2","211445.8818528","11884.744436198","18274.932414675","16780.832675926","20199.351592338","19272.267485502","21149.646614399","19599.888508609","19207.172541148","22054.300863728","16793.953621158","17971.058741491","8257.732357627","4265140.6774675","1769816.4614861","215933.10268273","70822371.95662","585597386.73132","2239988.5854672","4714155.9606004","30893.097956408","78249.102865941","71011060.850841","15192258.089535","17423008.771559","0.004364083","0.000903793","-0.003302355","1.79E-6","5.711E-6","5.711E-6"
"3","210121.66367223","9050.052496177","17001.243251969","17553.316493227","20413.032767547","21669.766067727","19259.841165265","18997.802221921","18888.883190663","21117.458186328","18693.791118049","17357.102416799","10119.374296558","4267863.4145175","1770820.5658545","216273.94713025","71020913.321653","585908386.43799","2242859.8007692","4713808.1156052","30899.619357259","78285.577585858","71044161.659165","15285989.330772","17520595.22738","0.004366117","0.000923451","-0.003302356","1.82E-6","5.743E-6","5.743E-6"
"3","214623.38349946","11649.374038169","15883.554654833","17348.975351606","20815.300676424","22352.783415159","18915.574367726","21917.949178985","21110.576148702","20564.735111765","18193.648518067","16521.534036936","9349.378001092","4274833.0565591","1776878.365094","218151.39804006","71730139.236059","587597847.15673","2264190.1335068","4722368.3625778","32366.965851415","82226.903692029","74620915.100516","16060739.304178","18407808.704673","0.004585931","0.000932955","-0.003302355","1.858E-6","6.034E-6","6.034E-6"
"2","211578.29398395","11624.630800516","18385.459049922","15814.936319857","20217.092876411","22925.619602304","20018.575864063","19369.896256007","21972.437228082","19937.365624835","16239.948809013","14795.872731913","10276.458821029","4270989.4308307","1776324.3694828","217715.99394049","71747081.804081","587058511.49277","2261987.7872588","4720689.8304661","31892.640110499","81921.730953931","74343970.840691","15863293.894639","18321727.358495","0.004568911","0.000917655","-0.003302354","1.808E-6","6.005E-6","6.005E-6"
"3","221633.17832108","10606.229815593","19077.074294929","18835.029469478","18926.406166101","22657.793601692","19524.781429285","23051.154963657","20124.508896508","19689.735293514","18936.288250056","18352.537504982","11851.638635287","4274329.3538882","1778020.4072611","218255.47419021","71862995.909986","587669948.30052","2268907.0871588","4723668.0771886","32512.341134564","83406.984715043","75691838.6289","16157599.422995","18653084.197107","0.004651747","0.000934004","-0.003302354","1.851E-6","6.114E-6","6.114E-6"
"2","211911.75141978","9528.133836829","17035.699997865","17339.902703401","20910.056795615","21895.616919527","21872.550136138","19537.976999166","20677.014143305","20955.364940432","15441.220666931","18205.587421406","8512.626859164","4272872.6592758","1777837.4409985","218418.52903321","71995366.402384","587702930.76456","2266900.1565785","4722080.1548596","32107.165499787","82129.224816957","74532271.521387","16120693.972935","18509614.010202","0.004580484","0.000927491","-0.003302355","1.854E-6","6.067E-6","6.067E-6"
"3","212179.82693986","9557.533202687","18485.274574585","15510.02522828","19587.827187193","20209.008265","19790.154132112","20216.611642621","23045.839084141","21445.356233927","17423.094051316","17339.311764058","9569.791573937","4271738.5617845","1776816.9081763","218106.71604478","71874182.301847","587538621.92815","2262883.542089","4721550.6558422","31817.022798607","81333.353803863","73810018.577005","16048206.30177","18370645.865125","0.004536097","0.000915641","-0.003302354","1.836E-6","6.021E-6","6.021E-6"
"4","209819.01315266","9502.188127904","14948.482676712","14814.880520644","21577.332456187","22001.952630917","18987.52469014","20182.908377339","20878.693294648","20062.130948561","17747.110171966","18347.19709603","10768.612161607","16987658.528519","4686566.6440975","874230.63807887","710672489.58513","1438910888.9811","27632846.291886","9313520.7294088","3875598.0389265","599478.59847638","327020951.89342","1193635580.1816","17773628.876009","0.186874672","1.51783312","0.000330121","0.001725376","5.826E-6","5.826E-6"
"4","219546.8608357","8948.553917719","16691.424318941","18212.364554948","22734.124625392","20415.831880822","20398.219072495","21607.341064829","22871.21563726","22713.22852757","16403.550185","17255.420465801","11295.586584925","17001281.065322","4694201.3796789","876184.48134219","711914764.97854","1441098981.4449","27657609.301571","9321279.1597135","3877199.0743587","602650.38422422","328992745.36644","1194084206.0498","18803037.877098","0.187051567","1.517903655","0.000330122","0.001725522","6.163E-6","6.163E-6"
"2","219597.09075092","11667.907863561","18757.729602203","16796.24325903","20528.631192273","21107.596144249","22154.370786934","18947.407309543","20731.549940924","22084.882114425","17876.707864928","17754.475555254","11189.589117598","4274961.6680723","1776279.6839525","217990.26014082","71791519.249602","587266329.42433","2262143.9084865","4720556.0757971","32077.09497917","81249.480773129","73733903.801614","15886939.256976","18293418.005247","0.004531419","0.000947604","-0.003302355","1.871E-6","5.996E-6","5.996E-6"
"3","210498.86858229","8357.691171788","16026.592940098","15121.658789815","20380.174531284","22468.829817927","21345.582760095","20282.11312606","21490.656903939","21368.747698788","16255.930311886","15508.657846579","11892.232684032","4274860.6199156","1778691.9393163","218339.90145013","72031636.457195","587528946.41634","2271278.4219633","4723579.8306264","32417.217257335","83407.726666275","75692511.949643","16083097.019018","18715765.694029","0.004651788","0.00093889","-0.003302355","1.841E-6","6.135E-6","6.135E-6"
"1","211582.55691801","11391.526156377","17921.625692313","17861.594632328","19733.902012907","19288.004557864","19991.561395867","19248.768305683","20387.487879806","22943.35460314","15789.193736444","16035.535296193","10990.002649092","4265726.5529967","1769113.7826228","215764.66427689","70627064.549513","585720554.91455","2237538.6837147","4714007.0047443","30861.107687825","78108.492716651","70883457.14036","15242967.271437","17341938.702978","0.004356241","0.000902932","-0.003302354","1.777E-6","5.684E-6","5.684E-6"
"3","217098.58563451","10526.07314195","16932.51128272","16131.260426631","19332.644606766","22895.68983345","22917.619025967","22536.214529744","21991.528901609","20362.099190675","17509.531169013","17916.854425439","8046.559100548","4281645.1156636","1785223.8909602","219924.13751853","72836221.615084","588917674.09663","2295907.5381316","4731357.2543482","33702.575945249","87905.52474273","79774263.704027","16796690.608684","19772977.953212","0.004902638","0.000971239","-0.003302354","1.884E-6","6.481E-6","6.481E-6"
"3","218398.22166048","11894.118432731","17338.58684653","18536.356077836","20350.567655148","20263.540705943","19965.35828312","19063.879859737","21508.979511891","22764.792642944","17167.115022701","17715.435540329","11829.491081567","4271786.3090622","1772013.4517498","216675.57203586","71003404.24778","586597623.48184","2248222.5661863","4717802.5310531","31621.720461349","79966.768185031","72569842.127915","15599907.320553","17784923.957059","0.00445988","0.000928685","-0.003302354","1.825E-6","5.829E-6","5.829E-6"
"3","216708.29251945","9946.810778545","17329.856768348","18942.406164754","21453.985429214","20757.69889893","19222.033718661","19913.956551333","22055.919571264","21975.337901895","14869.134055797","18502.669374339","11738.483306368","4273913.9820738","1773504.8116052","217207.0184292","71421265.925962","586746472.88486","2252703.4814343","4718847.4452308","31824.729084748","80048.662617553","72644161.325428","15634625.388816","17888401.850279","0.004464447","0.000937923","-0.003302355","1.844E-6","5.863E-6","5.863E-6"
"1","216590.19010006","11682.3380399","17530.983123511","15868.325760164","22260.53838743","21078.204589373","19573.869417792","22461.953953655","19659.417622657","21312.286480827","15864.837984145","18728.743931112","10568.690809492","4271038.7980034","1774674.5560953","217365.16244558","71469512.360806","586839510.10952","2257260.8491256","4720055.6316354","31902.495923053","81281.021969487","73762527.437309","15747275.301062","18161328.09803","0.004533178","0.000917105","-0.003302355","1.828E-6","5.953E-6","5.953E-6"
"1","210433.62540069","9607.518380398","15261.047615287","16590.911530982","22655.424307018","21141.238764057","22143.797919375","20029.949901394","19106.479549961","19034.452587147","17220.978404974","16351.133305948","11290.69313415","4271123.2161254","1777014.7938237","218122.51485954","71859362.888556","587509651.6339","2263944.9993212","4721383.4372756","31752.217424086","81507.553360363","73968104.674528","16047606.27708","18394202.040218","0.004545812","0.00092156","-0.003302354","1.851E-6","6.029E-6","6.029E-6"
"3","217249.12620793","8023.955161875","19056.562595453","15204.231027492","21574.795746522","20320.928927681","21146.304273116","22425.797368644","22191.15741653","21871.007237852","17302.466944663","16483.864090943","11648.055417162","4277811.6657136","1780881.2093828","219312.34540328","72336753.119708","588568747.16167","2278394.3650562","4726292.3526605","32894.211018314","84214.917594758","76425037.717241","16524673.132226","18992611.075441","0.004696806","0.000942364","-0.003302355","1.891E-6","6.225E-6","6.225E-6"
"2","210690.76180481","8343.903582931","17117.965667626","18739.20482883","19924.797730407","20994.267114624","22161.199531603","20020.086564244","18753.697308287","21943.586756862","16033.890484048","18842.895495059","7815.266740293","4270903.619416","1775872.5280905","217868.50720423","71763268.635623","587193731.51916","2260130.8301822","4719726.5601937","31710.925338602","80696.250088961","73231846.95573","15890762.78063","18215927.80828","0.004500564","0.00092963","-0.003302355","1.86E-6","5.971E-6","5.971E-6"
"1","213387.1599254","8673.34298063","15479.664743654","18111.478866072","22703.897845941","19654.294702176","19430.249246078","22196.821980635","21372.844834171","22084.095848379","17220.507218012","16078.393668908","10381.567990744","4277792.7190156","1777582.6075994","218457.2109431","71950299.340219","587788695.19744","2266345.2778237","4721719.9602695","32340.098775954","81704.223322203","74146582.664898","16083193.219092","18459191.546098","0.004556781","0.000963201","-0.003302354","1.911E-6","6.05E-6","6.05E-6"
"3","212086.8178057","9865.751817946","16242.688828387","16018.212086789","22413.80241859","19615.455906615","19282.013775288","21154.5012614","21698.230248683","20278.043428572","17798.184564249","16298.983604042","11420.949865142","4271605.0141224","1775025.232724","217664.48240491","71643393.925961","587027577.56278","2256783.1378482","4718646.7536402","31673.714382007","80189.185990521","72771686.286397","15784637.495172","18063269.834162","0.004472285","0.000929125","-0.003302355","1.853E-6","5.921E-6","5.921E-6"
"2","211201.15044686","8662.364422752","16372.267376827","18841.921541754","20615.124900921","20343.471946663","20771.777414322","19061.101715693","20785.342915135","22071.7208752","15446.828483812","16120.947352472","12108.28150131","4269499.7784692","1772228.6306978","216812.03995846","71048818.721483","586545758.43332","2246729.8950501","4717483.8855462","31492.578050767","79408.099217855","72062850.040202","15584488.624872","17690601.964554","0.004428722","0.000921678","-0.003302355","1.818E-6","5.799E-6","5.799E-6"
"2","220038.24054726","9908.661205782","19137.712921464","17669.881467478","22939.350117517","22538.936947483","21769.206371284","19054.298315182","20620.694999337","18692.281231621","17755.781498461","18176.260170244","11775.175301407","4276510.1812376","1780273.5640789","219045.59841924","72278176.929165","588385253.39811","2276320.996052","4725071.5277607","32319.857934662","83709.046078345","75965959.316097","16401020.153495","18908005.179287","0.004668593","0.000941753","-0.003302354","1.89E-6","6.198E-6","6.198E-6"
"1","221422.34882504","12088.536230665","17914.353527946","19049.660716386","22655.303858069","21247.241739486","21834.219985646","22408.750467863","21723.787307652","19406.123479206","15408.835490439","16313.206378536","11372.32964315","4281209.1883351","1780555.8806695","218942.63515109","72215396.224","588651113.98203","2279904.8789037","4728618.3299513","33232.222397432","85206.873373343","77325237.586307","16626423.180625","19095530.932107","0.004752129","0.00097445","-0.003302354","1.883E-6","6.259E-6","6.259E-6"
"3","211522.18226406","11081.601533826","15182.357072647","15094.281489626","22185.080814689","18709.733650569","19637.162039909","19894.967930277","21789.581944949","22241.057036619","17695.822990755","16857.915293988","11152.620466208","4269820.8727832","1774063.0121978","217132.87294696","71343718.235675","586802540.76305","2255157.8234038","4718116.7753896","31333.60584801","80804.189262302","73329801.755538","15693769.916264","18060855.10137","0.004506584","0.000927096","-0.003302355","1.839E-6","5.92E-6","5.92E-6"
"4","212594.76342192","10069.086155916","15179.805346715","17379.091959551","21558.110587013","20276.201128362","21623.683449229","20571.801221862","22408.847398622","18757.321241929","18090.756406439","18398.259914538","8281.798611748","16993126.596455","4691616.4698224","875365.59883969","711393084.5272","1439870830.5838","27649646.827817","9318619.9940477","3876490.5781043","602333.36324919","328795663.99387","1193857715.9987","18539610.507364","0.187033887","1.517866062","0.000330121","0.001725432","6.077E-6","6.077E-6"
"2","213193.31153946","9160.172636477","18817.960727702","15044.830070169","21750.435066828","20883.486968884","20944.130445374","20662.775484327","22340.541563035","20759.858445879","17979.063503059","16552.34704294","8297.709584791","4274714.0903157","1777437.7017165","218202.47327844","71777243.481706","587701719.16585","2266454.6274237","4723228.153735","32451.789476608","82801.981374575","75142798.097426","16145539.398685","18506362.630984","0.004618005","0.000927533","-0.003302355","1.848E-6","6.066E-6","6.066E-6"
"2","212603.29619968","7832.569025633","18472.435690657","16301.083378802","19243.854434117","21149.898729941","19626.675291862","21565.437721887","20517.688139118","20525.555714638","17919.675746814","18833.848557569","10614.573768638","4269038.587721","1774698.6830684","217342.61907904","71416330.450976","586894675.6627","2256390.2637191","4719498.1055892","31647.130657211","81173.122492189","73664608.66166","15812721.306196","18120193.271407","0.00452716","0.000910712","-0.003302356","1.804E-6","5.939E-6","5.939E-6"
"3","222540.60117518","11791.511848904","15291.607908928","15557.762090772","22749.569728695","22584.974922348","22995.487328761","21725.738415025","21889.996782038","22778.681074134","17930.816366367","16875.085708219","10369.369000992","4287487.6647667","1784310.6519572","220278.92026892","72720881.395515","589425752.8389","2292191.9926663","4731960.654046","34124.680365193","86867.478217137","78832236.482051","16884970.568987","19562208.639217","0.004844744","0.000987722","-0.003302354","1.949E-6","6.412E-6","6.412E-6"
"1","219552.44667906","10571.592348537","16918.725428844","16120.327238468","22650.291860224","21613.090160011","21846.182366083","19595.747702999","22321.121792779","21709.181787866","17998.065581976","18075.989844515","10132.130566759","4279828.2147085","1778316.7445587","218685.99721443","71953485.342769","588120068.7776","2269935.4046763","4725094.7104273","32936.608694588","83194.595379546","75499095.306937","16267754.422938","18630596.435405","0.004639901","0.000953002","-0.003302354","1.891E-6","6.107E-6","6.107E-6"
"1","212296.34654567","9113.155687308","18507.659285376","17277.208606142","20217.439961984","20958.234818543","20066.630358106","20832.250969637","20625.003592489","22138.287668039","17172.707631417","16596.324334229","8791.4436324","4271751.3733908","1773633.0825575","217211.88816765","71236396.450282","586950262.20005","2253258.0857277","4719678.4923588","31892.057514721","80806.478304263","73331879.061118","15800468.644894","17971761.240512","0.004506712","0.000920701","-0.003302355","1.823E-6","5.891E-6","5.891E-6"
"2","212508.54007235","9949.172772843","16934.237799148","17346.557902164","22695.862882504","22001.699323239","22582.917317632","19457.166215346","19014.949219422","19873.285132347","15724.658406638","16234.256118618","10693.776982451","4273692.7746327","1780258.5879241","218989.82733526","72328422.282502","588198484.75575","2275682.4762675","4723996.6534101","31989.495453843","83342.176606367","75633025.270277","16335424.265158","18879814.29042","0.004648132","0.000934671","-0.003302354","1.886E-6","6.188E-6","6.188E-6"
"3","211608.80461745","8502.168304423","17951.497590393","14895.546274703","20196.256492744","20820.382861459","23013.652063076","21027.920013921","21494.907892267","20236.458121174","19112.050930342","15362.698940947","8995.265132","4276516.2184888","1779539.2607535","218403.16880967","72121260.403546","587779167.65034","2275681.644861","4725368.0119502","32722.746304268","84496.438075192","76680517.553235","16284585.574907","18940883.27173","0.004712507","0.000953391","-0.003302354","1.853E-6","6.208E-6","6.208E-6"
"3","210221.0924397","9923.502919564","15272.733141606","17293.220902299","20227.603506607","22327.435269106","20792.847078623","23019.084422198","18966.880517336","19662.4799518","17308.833700646","16090.685601421","9335.785428492","4272565.0324238","1778098.1634699","218073.8672946","71835073.468384","587479152.98362","2269886.9399844","4723154.9355535","32338.882731859","83476.819131255","75755213.361613","16138314.450851","18670694.280917","0.004655641","0.000925977","-0.003302354","1.833E-6","6.12E-6","6.12E-6"
