Time,Latitude,Longitude,Depth/Km,Magnitude,magError
31:46.0,42.7515,13.1542,7.2,2.9,0.46
32:21.5,42.6125,13.324,4,2.8,0.52
33:39.8,42.8138,13.2222,7.9,2.4,0.58
34:21.9,42.6948,13.2417,8.9,2.5,0.64
35:04.8,42.7188,13.2133,8.5,2.4,0.7
35:33.8,42.822,13.158,9.9,2.5,0.3
36:20.0,42.8,13.2262,8.6,2.8,0.5
37:40.3,42.7373,13.1542,10.7,2.6,0.7
38:50.9,42.6517,13.2508,11.1,2.1,0.8
39:24.8,42.6172,13.2568,11.5,3.1,0.1
40:10.9,42.6143,13.2437,10.7,4.1,0.3
41:49.3,42.7582,13.1085,8,2.5,0.1
42:50.2,42.7848,13.2187,6.8,2.8,0.16
43:44.8,42.7125,13.1892,10.6,2.6,0.22
44:47.9,42.7703,13.1192,11,2.1,0.28
45:14.6,42.7397,13.2525,8.8,2.4,0.34
45:43.0,42.728,13.1532,8.4,2.8,0.4
46:23.5,42.7803,13.147,8.4,2.4,0.46
47:04.5,42.8338,13.2247,15,2.3,0.52
47:57.0,42.6125,13.257,11.8,2.5,0.58
48:25.4,42.6268,13.2732,11.1,2.5,0.64
49:28.1,42.7515,13.1957,10,2.8,0.7
50:11.3,42.6542,13.2103,9.6,2.8,0
51:09.8,42.8142,13.1613,9.5,3,0.5
52:31.7,42.8277,13.134,8.8,2.2,0.7
52:34.7,42.7002,13.2028,9,3.1,0.8
53:55.5,42.6632,13.277,6.3,3,0.1
54:22.6,42.7922,13.1538,10.3,2.4,0.3
54:32.0,42.6393,13.3153,10,2.6,0.1
55:20.9,42.7812,13.1477,8.3,2.7,0.16
55:38.3,42.7307,13.1848,10.3,3,0.22
56:08.4,42.6803,13.2288,6.6,2.4,0.28
56:40.5,42.8163,13.2597,10.5,2.1,0.34
57:11.1,42.6937,13.1707,10.5,2.5,0.4
57:28.7,42.8223,13.1965,10.5,2.6,0.46
58:53.5,42.7313,13.2067,9.3,2.2,0.52
59:04.5,42.6488,13.2412,8.3,2.6,0.58
59:57.5,42.722,13.2188,9.9,3.5,0.64
00:51.1,42.7368,13.2312,10.4,3.2,0.7
01:52.9,42.7437,13.1967,9.5,2,0.3
03:03.3,42.6922,13.2557,8.9,2.4,0.5
03:32.6,42.6627,13.2052,9.1,2.8,0.7
04:07.2,42.7243,13.1907,10.5,2.2,0.8
04:15.9,42.7363,13.2127,10.7,2.2,0.1
04:47.5,42.7927,13.1525,8.3,2.4,0.3
05:16.1,42.738,13.1662,10.2,2.7,0.1
06:51.0,42.771,13.1238,6.2,4.4,0.16
10:01.5,42.5248,13.2902,16.6,2.4,0.22
12:10.4,42.8052,13.2273,8,2.9,0.28
12:57.6,42.5842,13.2728,11.6,2.5,0.34
14:07.8,42.8245,13.158,10,2.6,0.4
14:16.2,42.7417,13.2448,8.9,2.3,0.46
14:46.9,42.7203,13.1728,8.6,2.2,0.52
14:51.0,42.7007,13.1898,9.2,2.3,0.58
15:18.8,42.813,13.1683,9.6,3.1,0.64
15:57.0,42.7192,13.1668,10.2,2.1,0.7
16:40.6,42.8212,13.2158,10,2.7,0.3
17:32.1,42.6443,13.2262,9.7,2.3,0.5
19:13.4,42.7908,13.1187,6.9,2.3,0.7
19:38.4,42.837,13.1313,6.1,2.7,0.8
22:58.2,42.714,13.2183,10.5,2.1,0.1
23:29.9,42.6005,13.2578,11.8,2.1,0.3
24:24.5,42.5777,13.2588,11,2.9,0.1
24:45.6,42.7818,13.1558,7.5,2.6,0.16
25:58.9,42.6353,13.2363,9.7,3.4,0.22
26:47.8,42.77,13.1668,9.4,3.5,0.28
27:42.1,42.8217,13.1703,8.6,3.1,0.34
28:38.6,42.7942,13.1342,8.7,2.7,0.4
28:54.1,42.8098,13.1403,6.2,3.1,0.46
30:07.8,42.8122,13.2253,9.9,2.7,0.52
30:12.6,42.6705,13.2098,10.3,2.9,0.58
30:54.0,42.6422,13.2188,9.2,3,0.64
31:32.2,42.8168,13.1198,9,2.9,0.7
32:14.2,42.6223,13.2502,11.2,2,0.3
33:09.8,42.6232,13.2148,9.8,3.4,0.5
34:13.2,42.7408,13.1615,10.2,2.6,0.7
38:09.8,42.6287,13.2225,9.5,3.4,0.8
39:33.6,42.7225,13.1642,10.4,2.2,0.1
40:18.8,42.791,13.1578,8.4,2.3,0.3
43:18.3,42.6222,13.2353,10.9,2.6,0.1
44:10.8,42.6843,13.2392,10.1,2.6,0.16
44:38.9,42.7322,13.1773,8.3,3.5,0.22
46:09.4,42.7827,13.1637,9.9,3.2,0.28
47:26.2,42.8077,13.1422,6.9,2.5,0.34
50:27.1,42.7717,13.2112,6.7,2.2,0.4
51:20.7,42.6292,13.3037,6.3,2,0.46
51:56.2,42.8025,13.2303,9.6,2.4,0.52
52:45.3,42.7257,13.1757,10.5,3,0.58
53:23.4,42.7432,13.2455,7.5,2.2,0.64
55:19.0,42.6005,13.2832,7.2,3,0.7
57:37.2,42.8502,13.0405,7.6,3.5,0
59:16.7,42.7122,13.2183,9.9,2.9,0.437856174
59:53.4,42.6777,13.2977,6.4,2.8,0.438398915
01:13.8,42.776,13.1603,9.8,2.7,0
02:24.6,42.4623,13.2928,9.6,3.4,0.437856174
03:35.3,42.5988,13.2735,16.6,2.3,0.438398915
04:42.3,42.7738,13.1793,9.8,2.5,0.438941655
05:28.1,42.653,13.2298,12.1,2.4,0.439484396
07:58.8,42.6783,13.2107,11,2,0.440027137
08:26.1,42.8313,13.2152,9.6,2.4,0
11:31.3,42.8155,13.1742,8.3,2.4,0.437856174
12:12.4,42.7887,13.1295,9.8,2.3,0.438398915
12:39.6,42.7395,13.236,9.4,2.3,0.438941655
13:34.6,42.6412,13.2517,10.9,2.3,0.439484396
14:59.5,42.7822,13.169,8.8,2.3,0.440027137
18:39.4,42.7142,13.2478,9.5,2.8,0.440569878
20:33.3,42.8135,13.1697,10.3,2.2,0.441112619
21:42.4,42.7965,13.1952,6.2,2.4,0.44165536
22:28.9,42.7332,13.2688,10.6,2.3,0.4421981
22:42.5,42.6387,13.2282,11,2.8,0
24:00.0,42.7595,13.237,7.3,3.2,0.437856174
25:04.4,42.6373,13.2117,15.9,2.4,0.438398915
27:51.1,42.6228,13.2793,13.4,2,0.438941655
28:58.9,42.7238,13.1793,10.4,2.8,0.439484396
29:34.5,42.7528,13.1702,9.1,2.2,0.440027137
29:54.8,42.7997,13.1217,8.9,2.7,0.440569878
31:24.8,42.7835,13.1318,10.6,2.5,0.441112619
31:32.1,42.6633,13.1937,9.6,3.3,0.44165536
32:54.4,42.826,13.1448,12,2.1,0.4421981
34:39.5,42.7912,13.198,9.6,2.5,0.442740841
34:57.8,42.8257,13.1493,11.5,2.3,0.443283582
35:09.3,42.8158,13.1217,7.1,2.7,0.443826323
36:19.1,42.8012,13.1358,7.3,3.3,0.444369064
37:45.9,42.6062,13.2855,10,3,0.444911805
38:44.3,42.7113,13.204,9.6,2.3,0.445454545
39:45.4,42.8015,13.2077,8.6,2.1,0.445997286
40:09.4,42.7502,13.1842,4.7,2.3,0.446540027
40:41.2,42.6277,13.2415,11.2,2.3,0.447082768
41:43.2,42.7238,13.2732,9.9,2,0.447625509
42:51.5,42.7698,13.1683,10.8,2,0.44816825
43:03.9,42.6528,13.2987,7.8,2.4,0.448710991
43:44.1,42.8012,13.1417,9.3,2.5,0.449253731
45:35.2,42.6525,13.213,9.5,2.8,0.449796472
46:30.7,42.6813,13.2648,10.2,2.1,0.450339213
47:07.6,42.7997,13.2348,10.5,2.1,0.450881954
48:02.4,42.8208,13.2295,15.3,2,0.451424695
48:24.6,42.8032,13.1717,10.1,2.4,0.451967436
49:20.8,42.6252,13.2427,11.2,2,0.452510176
50:18.6,42.6198,13.2928,7,2.3,0.453052917
50:57.3,42.7888,13.2357,6.9,2.7,0.453595658
52:03.5,42.7518,13.2638,9.9,2.8,0.454138399
53:45.0,42.7848,13.2322,6.7,2.2,0.45468114
54:26.0,42.8495,13.1567,7.3,2.2,0.455223881
55:19.2,42.7487,13.2228,9.8,2.8,0
57:09.4,42.7968,13.1523,8.5,2,0.437856174
58:55.3,42.6192,13.2417,11.6,2.4,0.438398915
59:45.8,42.7917,13.17,11.2,2.4,0.438941655
