Time,Latitude,Longitude,Depth/Km,Magnitude,magError
34:55.5,42.8632,13.2167,8.7,2.2,0.228493894
38:52.5,42.8548,13.2083,7.5,2,0.229036635
45:08.0,42.7312,13.1923,10.4,2.2,0.229579376
27:04.6,42.7905,13.1977,10.2,2.5,0.230122117
01:05.2,42.7155,13.1878,10.9,2.4,0.230664858
14:00.6,42.7328,13.1918,9.8,2.1,0.231207598
16:22.8,42.7828,13.1372,8.6,2.6,0.231750339
39:05.8,42.8732,13.22,8.7,2.3,0.23229308
26:26.7,42.8677,13.2167,8.6,3,0.232835821
31:09.1,42.8755,13.2163,8.2,2.1,0.233378562
33:24.4,42.8688,13.2222,8.6,2.6,0.233921303
32:22.7,42.8592,13.2253,9.3,3.2,0.234464043
45:05.5,42.7322,13.1897,9.7,2.1,0.235006784
24:54.7,42.8027,13.1487,10,2.1,0.235549525
26:38.8,42.8057,13.2028,10.1,2.1,0.236092266
35:55.1,42.8068,13.1738,9.4,2.1,0.236635007
56:35.4,42.8502,13.2288,8.5,2.2,0.237177748
22:05.4,42.9233,13.2473,9,2.1,0.237720488
42:32.8,42.651,13.2972,8.2,2,0.238263229
49:33.0,42.8537,13.2257,9.3,2.1,0.23880597
48:03.7,42.8033,13.152,10.3,2.4,0.239348711
54:09.1,42.7457,13.1298,9.3,2.3,0.239891452
54:47.8,42.708,13.2507,10.8,2.2,0.240434193
10:54.4,42.5753,13.2518,10.5,2,0.240976934
19:08.6,42.7872,13.1217,9,2.5,0.241519674
20:16.4,42.7875,13.1118,9.8,3.2,0.242062415
56:03.6,42.7833,13.1873,9.8,2.2,0.242605156
45:35.8,42.7828,13.092,10.6,2.4,0.243147897
46:38.6,42.7745,13.1028,4.6,2.3,0.243690638
08:46.6,42.7413,13.2213,11.6,2.2,0.244233379
53:48.4,42.5543,13.3037,9.1,2,0.244776119
57:43.6,42.8537,13.2253,8.1,2.3,0.24531886
05:23.6,42.8592,13.2262,9.8,2.1,0.245861601
28:30.2,42.857,13.2573,9.9,2.2,0.246404342
44:40.6,42.8587,13.2248,9.5,2.1,0.246947083
48:00.4,42.8588,13.2318,9.6,2,0.247489824
26:43.9,42.7632,13.2717,14.2,2.8,0.248032564
16:08.0,42.7638,13.1942,10.8,2.4,0.248575305
31:35.3,42.8513,13.2303,9.1,2.9,0.249118046
32:28.4,42.8557,13.2322,6.3,2.2,0.249660787
55:00.5,42.778,13.1692,10.1,2,0.250203528
36:08.7,42.7868,13.2335,7.1,2.1,0.250746269
36:54.4,42.8437,13.1973,10.3,2.1,0.251289009
41:15.1,42.6747,13.2117,11.9,2,0.25183175
43:52.1,42.8535,13.2277,7.6,2,0.252374491
06:45.2,42.783,13.2303,6.9,2.6,0.252917232
44:50.7,42.8593,13.2243,8.9,2,0.253459973
07:05.2,42.8352,13.1445,10,2.3,0.254002714
12:33.3,42.7843,13.2093,10,2.4,0.254545455
25:08.9,42.765,13.2963,15.2,2.8,0.255088195
33:49.0,42.8198,13.2253,9.5,2.7,0.255630936
23:05.4,42.6867,13.2028,12.3,2.2,0.256173677
32:30.9,42.6095,13.3137,10.6,2.1,0.256716418
38:55.9,42.766,13.2893,14.7,2.5,0.257259159
56:53.3,42.8663,13.212,8.3,2,0.2578019
06:52.3,42.7852,13.1442,9.4,2.2,0.25834464
31:30.6,42.9232,13.2568,7.8,2,0.258887381
11:07.7,42.7907,13.1327,8.5,2.4,0.259430122
40:24.9,42.8563,13.2283,9.3,2.9,0.259972863
43:25.8,42.7857,13.1187,9.7,2.4,0.260515604
45:00.9,42.8938,13.205,8,2,0.261058345
10:20.4,42.7883,13.119,9.8,2.7,0.261601085
38:23.7,42.6483,13.1962,10.5,2.5,0.262143826
39:30.1,42.6527,13.1967,12.1,2.1,0.262686567
44:06.2,42.6532,13.2012,12.2,2.1,0.263229308
05:34.8,42.8572,13.2487,8.3,2.1,0.263772049
16:47.8,42.8248,13.1638,11.2,2,0.26431479
00:55.3,42.7583,13.1938,8.3,2.2,0.264857531
09:57.1,42.5655,13.2908,10.5,2.3,0.265400271
57:21.0,42.7177,13.2308,10.4,2,0.265943012
05:08.9,42.8725,13.2208,9.5,2.7,0.266485753
33:36.9,42.7527,13.1927,9.9,2.1,0.267028494
11:21.5,42.9227,13.2437,8.4,2.5,0.267571235
15:46.6,42.75,13.2313,10.4,2.2,0.268113976
16:37.9,42.7893,13.2248,8,2,0.268656716
25:57.1,42.8598,13.1157,7.4,2,0.269199457
45:28.2,42.767,13.1767,15.3,2.1,0.269742198
13:10.3,42.8415,13.2263,6.1,2.7,0.270284939
24:46.8,42.7178,13.0708,8.6,2.3,0.27082768
43:14.8,42.5712,13.2805,10,2,0.271370421
44:10.4,42.8472,13.2158,8.1,2.4,0.271913161
32:43.0,42.8193,13.0648,8,2.1,0.272455902
29:34.3,42.5062,13.4308,13.8,2,0.272998643
47:56.3,42.7915,13.1568,10,2.5,0.273541384
38:38.3,42.8392,13.1407,8.9,2.2,0.274084125
22:20.4,42.8487,13.2153,8.6,3.2,0.274626866
04:25.9,42.8612,13.2223,8.4,2.1,0.275169607
33:08.4,42.7452,13.238,10.7,2,0.275712347
39:41.2,42.82,13.1618,11.1,2.2,0.276255088
45:39.1,42.8287,13.2477,8.7,2.3,0.276797829
43:59.8,42.6677,13.1667,15.8,2.4,0.27734057
45:09.1,42.5568,13.2577,13.4,2.2,0.277883311
52:07.0,42.5753,13.2517,10.8,2,0.278426052
48:48.6,42.5692,13.2528,11.6,2,0.278968792
50:11.2,43.0265,13.3297,31.8,2,0.279511533
07:23.8,42.8462,13.2093,7.6,2.8,0.280054274
15:28.1,42.7998,13.1947,9.2,2,0.280597015
57:28.6,42.8182,13.1867,10.9,2,0.281139756
48:29.0,42.8537,13.2553,8.3,2.5,0.281682497
34:14.1,42.823,13.1607,10.1,2,0.282225237
40:52.1,42.8405,13.1575,11,2,0.282767978
58:39.8,42.7917,13.2262,10.5,2,0.283310719
12:31.0,42.7767,13.3187,13.8,2,0.28385346
49:05.4,42.6328,13.3067,11,2.8,0.284396201
58:06.9,42.6388,13.3038,11.2,2.2,0.284938942
59:03.0,42.8198,13.1608,11.1,2,0.285481682
33:27.0,42.5043,13.4272,10.6,2.1,0.286024423
55:05.0,42.8565,13.2187,9.1,2.1,0.286567164
22:57.6,42.7988,13.2283,13.3,2.3,0.287109905
33:06.2,42.8672,13.2167,8.6,2,0.287652646
42:51.7,42.7688,13.1708,12.7,3,0.288195387
06:47.5,42.7682,13.1723,14.5,2.4,0.288738128
59:37.7,42.8557,13.2362,9.4,3.2,0.289280868
40:34.5,42.6508,13.2222,13.7,2,0.289823609
40:45.1,42.836,13.2595,8.8,2.1,0.29036635
45:54.5,42.8377,13.2223,8.7,2,0.290909091
32:25.9,42.8588,13.1492,10.8,2.1,0.291451832
36:11.4,42.6502,13.3262,9.6,3.5,0.291994573
49:29.7,42.7418,13.1892,10.9,2,0.292537313
52:37.1,42.7203,13.2205,10.2,2.1,0.293080054
53:12.0,42.6568,13.3367,8.8,2.1,0.293622795
59:32.6,42.7793,13.1273,8,2.1,0.294165536
27:02.2,42.6532,13.3343,6.7,2.4,0.294708277
38:03.6,42.8432,13.1442,11.2,2.3,0.295251018
49:46.3,42.83,13.003,9.5,3,0.295793758
05:44.9,42.7345,13.1783,9.1,2,0.296336499
27:52.6,42.7725,13.242,13.3,2.5,0.29687924
34:09.4,42.7787,13.2452,14.8,2.6,0.297421981
34:51.8,42.7827,13.2168,14.6,2.3,0.297964722
40:49.6,42.6557,13.3438,9.8,2.5,0.298507463
46:08.4,42.7868,13.2548,14.1,2,0.299050204
18:11.1,42.6557,13.3358,10,3.2,0.299592944
36:38.0,42.903,13.1493,3.9,2,0.300135685
05:35.6,42.8028,13.1462,10.6,2.3,0.300678426
29:42.4,42.8027,13.1778,10.2,2,0.301221167
58:42.4,42.8628,13.233,9.1,2,0.301763908
52:51.9,42.7207,13.3527,19.3,2.2,0.302306649
22:55.2,42.8622,13.2203,8.5,2,0.302849389
37:55.3,42.8003,13.1198,7.7,2,0.30339213
47:25.7,42.7342,13.2588,10.2,2,0.303934871
10:40.2,42.8473,13.2272,9.2,2.1,0.304477612
21:36.4,42.5435,13.296,11,2,0.305020353
38:21.9,42.601,13.2605,11.3,2.5,0.305563094
35:59.6,42.6493,13.2988,8.5,2,0.306105834
56:26.6,42.7602,13.1885,9.9,3.2,0.306648575
57:36.5,42.7548,13.1982,9.9,2.5,0.307191316
18:38.1,42.7618,13.1948,10.4,2,0.307734057
09:37.2,42.8653,13.214,7.9,2.1,0.308276798
23:55.5,42.7368,13.199,10,2.6,0.308819539
45:26.4,42.8277,13.2417,9.3,2.1,0.30936228
02:33.7,42.6772,13.2707,12.9,2,0.30990502
06:34.2,42.7448,13.1842,10.8,2.4,0.310447761
17:17.4,42.5187,13.2877,15.6,2.3,0.310990502
25:07.1,42.7797,13.1335,10.5,2.1,0.311533243
31:16.4,42.6918,13.2732,14.7,2,0.312075984
12:21.6,42.7268,13.2197,11,2.2,0.312618725
16:47.3,42.8187,13.2317,9.2,2.1,0.313161465
07:58.4,42.8555,13.2312,8.8,2,0.313704206
41:38.8,42.7817,13.1442,10,2.1,0.314246947
53:07.8,42.7572,13.2357,9.8,2,0.314789688
29:38.2,42.843,13.1708,8.9,2.3,0.315332429
36:49.1,42.7468,13.237,10,2.1,0.31587517
15:23.6,42.7278,13.1882,9.5,2,0.31641791
27:21.0,42.7328,13.2558,13.3,2,0.316960651
03:29.3,42.7893,13.1315,7.5,2.1,0.317503392
04:08.4,42.7637,13.1713,11.1,2.2,0.318046133
40:13.3,42.7283,13.1272,15,2,0.318588874
46:38.5,42.7612,13.1708,10.9,2.1,0.319131615
52:39.7,42.8643,13.2232,9.5,3.2,0.319674355
01:00.3,42.7533,13.25,10,2.2,0.320217096
01:53.3,42.723,13.1305,14.5,2.2,0.320759837
32:31.4,42.732,13.2052,8.7,2.1,0.321302578
23:18.6,42.7553,13.2175,12.8,2.1,0.321845319
04:00.3,42.6797,13.2857,9.2,2,0.32238806
01:36.9,42.7852,13.1342,7.8,2,0.322930801
04:10.6,42.7348,13.1918,12.8,3.3,0.323473541
31:08.6,42.6093,13.2887,10.2,2.3,0.324016282
53:58.7,42.7398,13.1943,12.3,2,0.324559023
22:49.1,42.6788,13.2877,9.2,2.5,0.325101764
07:43.2,42.7473,13.2273,10.2,2.3,0.325644505
13:58.5,42.8057,13.2448,8.9,2.4,0.326187246
15:00.0,42.6833,13.2317,12.4,2.5,0.326729986
32:56.0,42.8063,13.1508,10.3,2.2,0.327272727
39:53.6,42.7338,13.1825,12.2,2,0.327815468
44:00.9,42.6842,13.2878,7.8,2,0.328358209
03:35.8,42.8022,13.2073,10.2,2.1,0.32890095
08:14.0,42.6383,13.2903,10,2.1,0.329443691
12:48.5,42.8667,13.2242,7.5,2.1,0.329986431
27:14.7,42.6788,13.2842,9.2,2,0.330529172
41:10.0,42.7327,13.2,10.3,2,0.331071913
48:23.2,42.8002,13.2092,10.3,2.6,0.331614654
08:47.6,42.8002,13.2043,10.2,3.4,0.332157395
02:39.9,42.7988,13.2063,9.8,2.1,0.332700136
53:16.0,42.7392,13.1673,9.4,2.4,0.333242877
19:46.3,42.6207,13.2832,15,2.1,0.333785617
29:55.8,42.7832,13.1652,11.9,2,0.334328358
57:24.5,42.8083,13.2103,10.4,2.1,0.334871099
14:07.9,42.7997,13.2063,10,2.2,0.33541384
33:58.2,42.805,13.2078,10.3,2,0.335956581
49:47.5,42.7783,13.1337,10.2,2.5,0.336499322
50:24.4,42.8908,13.0958,12.3,2.2,0.337042062
13:01.6,42.7823,13.1292,10.5,2.3,0.337584803
51:24.1,42.6357,13.224,12.3,2,0.338127544
54:50.9,42.5008,13.4255,12.1,2.4,0.338670285
17:11.1,42.7932,13.2377,7,2.4,0.339213026
41:46.9,42.7687,13.1523,9.6,2.4,0.339755767
00:56.7,42.798,13.2323,15.1,2.3,0.340298507
18:45.7,42.6832,13.2852,8.8,2.5,0.340841248
44:05.9,42.7812,13.1383,10.2,2.1,0.341383989
53:44.0,42.499,13.4298,10.9,2.3,0.34192673
19:49.5,42.8163,13.1662,10.7,2.2,0.342469471
55:19.9,42.6627,13.3262,9.6,2.5,0.343012212
16:56.5,42.6693,13.3018,12.8,2.1,0.343554953
39:11.9,42.6672,13.2963,12.4,3,0.344097693
57:17.7,42.6662,13.2992,11.5,2.2,0.344640434
49:33.8,42.7847,13.1302,7.9,2.1,0.345183175
19:37.1,42.7953,13.2047,10,2.1,0.345725916
23:13.8,42.7837,13.1332,10.5,2.3,0.346268657
29:34.2,42.7808,13.1308,8.1,2.1,0.346811398
38:43.7,42.8492,13.2453,15.1,2,0.347354138
13:26.6,42.8028,13.2428,9.7,3.3,0.347896879
19:45.8,42.8087,13.2472,10.1,2.5,0.34843962
47:38.3,42.8023,13.2118,10.3,2,0.348982361
22:31.3,42.8397,13.1358,10.9,2.9,0.349525102
19:08.3,42.8507,13.2498,9.8,2,0.350067843
35:32.4,42.6662,13.3122,12.9,2.4,0.350610583
10:21.5,42.8055,13.2017,10.4,2,0.351153324
10:36.2,42.607,13.2402,13,2.4,0.351696065
47:37.8,42.588,13.2678,12.8,2.4,0.352238806
41:36.0,42.8723,13.2253,9.1,2,0.352781547
31:21.4,42.7373,13.1902,11.2,2,0.353324288
47:03.1,42.6158,13.3233,10.2,2.3,0.353867028
19:54.1,42.8658,13.2237,8.4,2.4,0.354409769
20:45.9,42.6792,13.2802,9.1,2.4,0.35495251
25:53.8,42.953,13.1568,8.7,3.2,0.355495251
34:12.3,42.6845,13.223,9.8,2.2,0.356037992
49:13.4,42.7813,13.3673,16.8,2.5,0.356580733
00:33.9,42.8218,13.2635,9.7,2,0.357123474
00:39.2,42.7468,13.19,10.4,2,0.357666214
11:51.4,42.8012,13.2258,9.3,2,0.358208955
21:22.0,42.8643,13.2247,9.9,2.2,0.358751696
41:23.9,42.8022,13.1467,9.4,2,0.359294437
15:59.3,42.6583,13.3202,9.5,2.7,0.359837178
23:15.8,42.6312,13.3122,10.8,2.2,0.360379919
56:23.7,42.8368,13.2498,9.2,2.6,0.360922659
56:43.5,42.8617,13.1585,9.5,2.6,0.3614654
57:43.2,42.7498,13.2553,10.8,2.3,0.362008141
35:38.1,42.859,13.2202,8.2,2.2,0.362550882
37:43.0,42.6793,13.285,9.5,2.3,0.363093623
58:38.5,42.8222,13.1392,13.1,2.1,0.363636364
37:04.9,42.611,13.3103,10.7,2.2,0.364179104
24:48.8,42.8238,13.2427,9.3,2.3,0.364721845
31:46.3,42.7513,13.1517,7.9,2.1,0.365264586
58:33.9,42.8537,13.2718,9.5,2,0.365807327
44:35.3,42.8192,13.2382,9.3,2.3,0.366350068
56:26.2,42.8472,13.2423,8.7,2.7,0.366892809
59:22.2,42.8565,13.2147,9.7,2.6,0.36743555
47:41.7,42.7562,13.1742,10.3,2.1,0.36797829
39:35.2,42.8148,13.2417,7.1,2.6,0.368521031
50:46.1,42.8545,13.2503,7.7,2.2,0.369063772
16:19.5,42.7265,13.2137,11,2,0.369606513
23:12.6,42.6773,13.2977,11.8,2.1,0.370149254
22:06.3,42.8627,13.2302,8.3,2.3,0.370691995
35:15.2,42.8647,13.256,9.4,2.4,0.371234735
07:07.8,42.6798,13.2815,9.5,2.5,0.371777476
03:43.5,42.8483,13.2612,9,2,0.372320217
26:18.2,42.7437,13.1483,11.4,2,0.372862958
37:12.8,42.8192,13.2545,6,2.5,0.373405699
24:23.1,42.7863,13.1837,12.4,2,0.37394844
25:41.2,42.7775,13.1433,9.8,2.1,0.37449118
13:14.5,42.8228,13.2332,8.5,2.3,0.375033921
14:11.0,42.8167,13.2413,6.3,2.1,0.375576662
13:23.7,42.7457,13.1817,8.1,2.2,0.376119403
31:30.7,42.6388,13.319,10,2.5,0.376662144
48:42.2,42.7392,13.1682,8.6,2.5,0.377204885
49:20.1,42.8508,13.2457,9.3,2.1,0.377747626
00:54.1,42.8025,13.2677,13,2.2,0.378290366
55:47.9,42.6795,13.2888,9.8,2.2,0.378833107
03:42.2,42.8832,13.2837,7.7,2.1,0.379375848
07:21.4,42.8692,13.2608,9.9,2.2,0.379918589
34:20.3,42.7782,13.119,12.2,2,0.38046133
11:30.7,42.7262,13.2143,11.6,2.3,0.381004071
48:39.0,42.6752,13.2193,12.4,2,0.381546811
20:50.2,42.8763,13.2888,8.6,2,0.382089552
14:13.3,42.637,13.3,8,2,0.382632293
20:19.0,42.8002,13.2167,9.3,2.1,0.383175034
20:48.1,43.4638,12.6292,9.8,2,0.383717775
22:07.8,42.8623,13.2587,9.6,2.7,0.384260516
33:54.5,42.8035,13.1565,10.6,2.2,0.384803256
09:39.2,42.7307,13.17,12.6,2.1,0.385345997
22:36.0,42.7705,13.1093,13.1,2.1,0.385888738
08:14.1,42.6815,13.2863,9.6,2.5,0.386431479
08:42.7,42.8578,13.2537,8.9,2.2,0.38697422
24:26.7,42.8427,13.2505,8.1,2,0.387516961
29:39.6,42.837,13.2627,9.2,3,0.388059701
40:30.0,42.809,13.252,13.7,2.1,0.388602442
05:16.9,42.7233,13.2107,11,2.8,0.389145183
34:43.7,42.6807,13.1725,12.2,2.1,0.389687924
42:20.2,42.9458,13.3018,24.6,2.2,0.390230665
35:34.7,42.6125,13.2668,11.8,2,0.390773406
19:36.0,42.7727,13.1172,12.2,2,0.391316147
45:45.5,42.6803,13.2003,11.8,2.1,0.391858887
23:36.6,42.9557,13.161,8.9,3.2,0.392401628
26:38.4,42.7433,13.2277,12.7,2.1,0.392944369
43:34.1,42.8532,13.2582,8.8,2.3,0.39348711
00:02.9,42.7863,13.2352,9.3,3.3,0.394029851
04:44.4,42.8605,13.2697,9,2.6,0.394572592
37:11.0,42.7733,13.1167,11.7,2,0.395115332
03:35.2,42.7283,13.1713,13,2,0.395658073
30:27.1,42.7848,13.144,9.6,2.3,0.396200814
24:13.2,42.7713,13.1402,10,2,0.396743555
41:49.1,42.7752,13.1417,10.1,2.1,0.397286296
32:43.9,42.7763,13.1368,10,2.9,0.397829037
19:58.3,42.7252,13.1668,13,2,0.398371777
56:55.9,42.7813,13.1297,10,2.1,0.398914518
58:50.9,42.8618,13.2207,8.6,2.4,0.399457259
00:59.4,42.5917,13.2367,12.5,2.2,0.4
13:21.7,42.7793,13.1275,10,2.3,0.400542741
39:04.2,42.7447,13.1872,9.4,2,0.401085482
26:35.7,42.7227,13.2135,11.2,2.3,0.401628223
53:48.1,42.7762,13.1462,10.2,2,0.402170963
05:41.0,42.7752,13.1232,11.1,2.2,0.402713704
16:36.2,42.8512,13.2548,7.8,2.1,0.403256445
00:58.2,42.6798,13.2843,9.6,2.6,0.403799186
05:20.6,42.9767,13.0557,9,2,0.404341927
48:53.9,42.6843,13.213,12.7,2.3,0.404884668
49:52.5,42.7902,13.2355,9.3,2.1,0.405427408
49:14.8,42.7825,13.1315,9.8,2.5,0.405970149
54:43.3,42.8582,13.2377,8.2,2.4,0.40651289
22:29.1,42.7795,13.1292,10.4,2.4,0.407055631
12:03.5,42.8808,13.1528,14,2.1,0.407598372
39:02.6,42.6817,13.28,9.9,3.3,0.408141113
17:16.2,42.7217,13.2173,11,2.2,0.408683853
10:59.7,42.7975,13.2245,6.9,3.1,0.409226594
11:56.3,42.8038,13.2387,9.6,2.5,0.409769335
17:34.8,42.8358,13.1482,10.9,2,0.410312076
04:27.5,42.563,13.2382,12.8,2.3,0.410854817
41:14.1,42.7028,13.2373,13,2,0.411397558
50:38.3,42.7457,13.1952,10.3,2.4,0.411940299
57:00.2,42.6797,13.2792,8,2.4,0.412483039
20:24.6,42.7708,13.1827,10.3,2.4,0.41302578
44:54.0,42.8678,13.2252,9.3,2,0.413568521
32:45.1,42.6767,13.1765,8,2.1,0.414111262
02:16.0,42.7302,13.1878,8.9,2.6,0.414654003
18:56.6,42.7832,13.1218,8.5,2.3,0.415196744
30:20.3,42.7872,13.1207,6.4,2.3,0.415739484
06:24.3,42.5913,13.2363,13,2,0.416282225
22:51.2,42.8768,13.2447,9.3,2.1,0.416824966
28:26.7,42.9255,13.2618,9.5,2.5,0.417367707
53:34.4,42.5947,13.2402,12.4,2.3,0.417910448
42:27.7,42.7795,13.1308,10,2.3,0.418453189
10:47.9,42.8743,13.2332,10.6,2,0.418995929
57:55.7,42.8637,13.256,9.6,2.5,0.41953867
39:52.7,42.5947,13.2372,12.1,2.1,0.420081411
14:01.7,42.8717,13.2258,9.6,2.3,0.420624152
58:58.8,42.7878,13.1758,10.5,2.5,0.421166893
59:43.8,42.8703,13.229,8.9,2.4,0.421709634
46:40.4,42.8888,13.2802,8.9,2.3,0.422252374
21:14.2,42.866,13.2398,9.7,2.5,0.422795115
07:49.1,42.7673,13.1678,11,2,0.423337856
26:18.6,42.787,13.1223,7.3,2.3,0.423880597
13:16.8,42.8753,13.2288,9.6,2.3,0.424423338
26:08.1,42.7847,13.1692,9.6,2.9,0.424966079
06:53.1,42.7863,13.1702,10.1,2.1,0.42550882
32:39.1,42.7902,13.1693,10.4,2.4,0.42605156
54:47.3,42.9558,13.1553,8.7,2.3,0.426594301
36:33.1,42.6122,13.2842,9.7,2,0.427137042
04:21.0,42.5838,13.2045,15.9,3.4,0.427679783
22:13.6,42.7775,13.1443,9.7,2.1,0.428222524
59:33.0,42.6922,13.2418,13.4,2,0.428765265
02:01.6,42.6603,13.2428,13.2,2,0.429308005
49:26.6,42.7863,13.1683,10.7,2.4,0.429850746
13:50.4,42.7257,13.2195,10.8,2.2,0.430393487
04:40.3,42.7757,13.134,9.8,2.3,0.430936228
09:18.2,42.5827,13.3193,9.8,2,0.431478969
31:16.1,42.7757,13.1435,9.8,2.3,0.43202171
26:10.8,42.8405,13.2545,4.9,2.1,0.43256445
18:49.0,42.7222,13.241,10.2,2.7,0.433107191
07:44.3,42.7337,13.1787,13.8,3.1,0.433649932
00:00.4,42.7332,13.1797,11.1,2.2,0.434192673
50:01.8,42.7863,13.1322,9.9,2.2,0.434735414
41:02.1,42.6715,13.2187,13.4,2.3,0.435278155
05:53.6,42.7745,13.1327,9.5,2.1,0.435820896
32:32.5,42.7527,13.1825,9.6,2,0.436363636
19:01.5,42.5797,13.3183,11,2.3,0.436906377
17:00.1,42.7093,13.1183,13.6,2.3,0.437449118
33:23.6,42.7228,13.2145,11.3,2,0.437991859
41:02.0,42.8363,13.1695,11.8,2.2,0.4385346
41:49.3,42.7357,13.2233,11.1,2.1,0.439077341
18:29.6,42.8717,13.2623,10,2.6,0.439620081
59:42.1,42.8552,13.2423,9.5,2.3,0.440162822
23:05.2,42.7795,13.1247,14.2,2.2,0.440705563
06:49.8,42.8568,13.2563,9.5,3,0.441248304
13:22.5,42.8522,13.2573,8.9,2,0.441791045
19:51.9,42.8252,13.1678,11,2.3,0.442333786
46:17.3,42.7247,13.2187,12.2,2.2,0.442876526
27:11.1,42.8003,13.1923,9.5,2.1,0.443419267
24:01.8,42.7357,13.1723,8.7,2,0.443962008
29:02.5,42.7287,13.2658,9.7,2.6,0.444504749
16:19.4,42.6642,13.2193,12.9,2.3,0.44504749
39:50.0,42.751,13.1452,8,2.4,0.445590231
13:35.9,42.8133,13.156,10.6,2.1,0.446132972
00:13.8,42.7835,13.1298,10.3,2.7,0.446675712
22:54.0,42.8737,13.1772,9.4,2.3,0.447218453
44:39.7,42.7867,13.1235,9.5,2,0.447761194
45:24.3,42.6537,13.2137,14,2.1,0.448303935
51:29.9,42.7792,13.1278,10.2,3.1,0.448846676
40:47.0,42.7758,13.1328,8.5,3.1,0.449389417
40:52.5,42.768,13.1335,9.2,3.7,0.449932157
43:51.7,42.7747,13.1303,10,3.7,0.450474898
44:24.3,42.7762,13.1342,8.3,3.9,0.451017639
47:00.6,42.7745,13.1423,6,2.6,0.45156038
48:37.1,42.7792,13.1282,9.8,2.1,0.452103121
01:25.9,42.785,13.1412,10.1,2,0.452645862
44:15.4,42.7848,13.1377,9.1,2.1,0.453188602
28:21.5,42.2688,13.5312,10.3,2,0.453731343
45:50.0,42.7695,13.1507,10.4,2.3,0.454274084
51:44.8,42.7483,13.1403,10.2,3,0.454816825
00:53.1,42.6442,13.3227,10.6,2.3,0.455359566
27:54.0,42.7632,13.0868,10.5,3.1,0.455902307
43:47.7,42.7793,13.134,10.3,2.4,0.456445047
22:09.1,42.8648,13.2563,10,2,0.456987788
59:12.7,42.8712,13.2663,9.8,2.2,0.457530529
40:26.9,42.6818,13.1867,12.8,2,0.45807327
49:45.9,42.7793,13.1367,7.1,2,0.458616011
08:27.0,42.8762,13.263,9.8,2,0.459158752
44:25.5,42.6438,13.2557,13.3,2.5,0.459701493
00:55.5,42.7605,13.1463,9.9,2,0.460244233
32:19.1,42.8067,13.1588,10.5,2,0.460786974
18:28.8,42.7245,13.2165,12.4,2.1,0.461329715
29:06.7,42.7597,13.138,9.3,2.1,0.461872456
44:16.2,42.8052,13.1522,10.2,2.3,0.462415197
19:35.2,42.7532,13.1993,12.9,2.3,0.462957938
38:24.7,42.7678,13.1523,8.9,2.3,0.463500678
22:59.0,42.7388,13.1708,12.4,2.2,0.464043419
26:05.7,42.8557,13.2408,9.6,2.2,0.46458616
55:43.6,42.8297,13.2377,9.2,2.1,0.465128901
26:39.3,42.79,13.1347,7.1,2,0.465671642
50:57.1,42.782,13.1572,10.3,2.3,0.466214383
51:09.3,42.7508,13.186,10.9,2.2,0.466757123
35:38.9,42.7875,13.1273,10.1,2.2,0.467299864
20:44.6,42.7997,13.1233,9.8,2.2,0.467842605
25:20.4,42.8727,13.1982,11.1,2.7,0.468385346
57:02.3,42.8202,13.2435,7.3,3.1,0.468928087
59:01.7,42.7868,13.1392,8.4,2.1,0.469470828
59:49.8,42.7708,13.1327,7.3,2,0.470013569
37:16.9,42.8328,13.1812,9.2,2.2,0.470556309
10:42.0,42.8298,13.2068,9.9,2.2,0.47109905
47:20.7,42.8662,13.222,8.2,2.2,0.471641791
54:52.0,42.7997,13.1455,10.6,2,0.472184532
15:51.3,42.8473,13.2363,8.5,2.3,0.472727273
20:37.4,42.7898,13.1888,10.3,2,0.473270014
28:34.5,42.6798,13.2862,9,2.6,0.473812754
49:54.4,42.6783,13.2873,9.4,2.3,0.474355495
58:16.8,42.6803,13.2882,9.6,2,0.474898236
56:33.3,42.7818,13.2242,12.8,2,0.475440977
21:24.3,42.7522,13.2483,10.2,2,0.475983718
35:21.9,42.8442,13.2328,10.5,3.4,0.476526459
21:30.8,42.8138,13.1782,7.7,2.2,0.477069199
29:51.3,42.7957,13.2157,10.4,2.1,0.47761194
36:20.4,42.8155,13.1743,8.1,2.3,0.478154681
37:14.4,42.8715,13.227,9.3,2.4,0.478697422
58:23.2,42.7855,13.1367,9.6,2.1,0.479240163
31:16.7,42.785,13.1348,9.6,2.2,0.479782904
46:21.7,42.7343,13.1812,13.1,2.5,0.480325645
38:17.5,42.7668,13.1428,10.2,2.7,0.480868385
53:57.6,42.807,13.2067,10,2,0.481411126
02:04.0,42.8753,13.126,9.9,2.4,0.481953867
35:19.0,42.7845,13.1398,10.6,2.6,0.482496608
36:47.8,42.8758,13.2278,9.6,2,0.483039349
29:51.7,42.7492,13.1873,9.9,2.1,0.48358209
32:45.7,42.6772,13.2095,11.6,2.6,0.48412483
02:10.1,42.6613,13.3263,11.8,2,0.484667571
44:06.8,42.8472,13.2327,10.4,2.1,0.485210312
02:53.5,42.8268,13.1722,11.1,2.3,0.485753053
25:18.9,42.7167,13.2612,12.3,2.2,0.486295794
38:02.7,42.8448,13.2512,8.6,2.4,0.486838535
45:44.7,42.8353,13.1507,9.9,2.6,0.487381275
32:40.3,42.7863,13.1243,9.1,2.2,0.487924016
55:35.9,42.6768,13.2855,9.6,3.2,0.488466757
08:36.4,42.6808,13.2892,10.3,2.5,0.489009498
