latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst
58.1873,-155.2674,1.2,0.9,,,,0.48,,1.5,,
63.5227,-151.3144,0,1.9,,,,0.85,,0.3,,
38.9425,-123.1095,7.94,1.36,25,58,0.06472,0.07,0.18,0.38,0.17,25
64.0529,-147.564,1.9,1,,,,0.19,,0.5,,
61.6575,-151.4254,68.2,1.6,,,,0.5,,0.4,,
38.7808333,-122.7568333,2.43,0.41,19,66,0.01227,0.04,0.25,0.44,0.267,16
65.3607,-144.7981,0,1.4,,,,0.75,,0.2,,
67.3091,-156.17,1.1,2.2,,,,0.66,,0.5,,
45.05483333,-124.0931667,18.13,2,12,218,0.1706,0.17,0.58,0.93,0.271675605,7
38.8078346,-122.8253326,2.19,0.75,13,71,0.003177,0.03,0.36,0.6,0.06,13
58.24683333,-154.9463333,3.4,0.61,16,148,,0.15,0.45,0.8,0.333889212,17
34.76916667,-97.52433333,5.38,1.72,90,55,0.115177398,0.33,,0.6,0.22,34
58.18666667,-155.2903333,1.04,-0.22,7,149,,0.04,0.24,0.88,0.296520606,7
58.18583333,-155.2893333,0.92,-0.22,6,150,,0.03,0.28,0.95,0.313300791,6
58.18733333,-155.2886667,2.25,0.97,13,56,,0.08,0.16,0.34,0.345480132,13
58.186,-155.2906667,1.33,-0.31,6,150,,0.05,0.26,0.85,0.2575984,6
61.5655,-146.6731,30.2,1.4,,,,0.78,,0.3,,
35.93883333,-97.901,7.97,1.34,60,48,0.072885697,0.33,,0.9,0.22,27
38.8138351,-122.8266678,2.01,0.76,17,57,0.005333,0.02,0.25,0.63,0.16,18
38.7235,-122.9156667,6.72,1.39,52,94,0.07049,0.05,0.21,0.51,0.183,46
33.2245,-116.7568333,19.25,0.92,34,46,0.01156,0.14,0.18,0.48,0.154,14
34.215,-117.5633333,4.17,1.34,43,63,0.05326,0.2,0.2,0.4,0.182,26
38.824,-122.797,3.06,0.43,26,32,0.01023,0.02,0.19,0.39,0.188,25
36.7203333,-121.3991667,6.78,1.01,20,83,0.04422,0.11,0.28,0.51,0.346,16
56.4711,-153.7629,13.4,2.2,,,,0.6,,0.4,,
58.18333333,-155.3208333,2.95,0.6,12,56,,0.12,0.23,0.51,0.303325899,12
58.24083333,-155.1423333,2.6,-0.77,5,217,,0.06,0.43,0.68,0.071021578,5
61.36483333,-152.349,-2.28,-0.37,8,150,,0.06,0.3,1.46,0.185181293,8
58.23766667,-155.1613333,3.11,-0.3,6,212,,0.07,0.43,0.82,0.26352031,6
58.18766667,-155.3358333,1.68,-0.37,5,226,,0.03,0.61,0.5,0.234148213,5
58.16883333,-155.3336667,1.55,0.04,10,73,,0.07,0.19,0.67,0.313546103,10
62.0302,-149.8455,40.9,1.7,,,,0.54,,1.7,,
45.367,-121.8026667,4.4,1.22,11,184,0.04342,0.12,0.44,0.59,0.153074029,9
37.9850006,-122.1166687,16.04,1.64,9,205,0.209,0.18,8.89,9.7,,1
37.6496667,-118.8966667,2.4,0.9,14,67,0.005265,0.04,0.36,0.52,0.14,13
61.6491,-149.7004,45.6,2.3,,,,0.13,,1.2,,
38.7515,-122.716,1.25,0.31,19,96,0.01131,0.04,0.24,0.36,0.153,13
44.745,-110.8393333,3.53,-0.36,4,172,0.04405,0.09,1.3,31.61,0.214,2
33.2583333,-115.9996667,4.59,1.53,51,69,0.0246,0.15,0.15,0.34,0.095,22
-6.9826,129.5289,166.459,6.2,115,28,2.472,0.9,7,4.31,0.042,54
33.256,-115.9995,4.74,2.57,80,18,0.02662,0.17,0.14,0.4,0.158,25
-31.8567,-66.5564,131.999,4.6,46,46,1.84,0.69,8.06,7.829,0.107,26
17.9455,-66.96966667,11.98,2.48,4,218,0.07485,0.09,2.56,1.36,0.058908147,3
36.8461685,-121.2949982,7.71,1.82,17,99,0.05625,0.07,0.35,0.73,0.17,11
35.0976667,-119.0273333,6.57,2.11,26,56,0.06053,0.3,0.4,1.04,0.19,59
64.7578,-148.8903,15.7,1,,,,0.35,,0.2,,
58.2705,-155.1056667,5.88,-0.24,8,125,,0.11,0.29,0.72,0.23272198,8
63.1239,-151.5246,0,2.1,,,,0.7,,0.3,,
17.98866667,-66.806,18.59,2.12,7,186,0.07103,0.16,0.78,0.81,0.091859947,5
38.8120003,-122.7835007,1.79,1.07,16,62,0.002534,0.02,0.25,0.58,0.23,18
17.9825,-66.97233333,10.07,2.34,5,166,0.06965,0.06,0.61,1.1,0.008907746,4
58.18266667,-155.2991667,1.89,0.09,11,58,,0.05,0.18,0.49,0.299920508,11
38.2135,-117.8383,3.6,1.4,8,136.01,0.116,0.1085,,3.2,0.75,6
37.2795,-117.6092,7.5,1.5,11,142.29,0.055,0.1581,,2.6,0.47,9
38.7960014,-122.7805023,2.86,0.73,10,90,0.006444,0.02,0.49,1.07,0.07,10
38.8196678,-122.8239975,2.15,0.77,8,73,0.00928,0.02,0.43,1.07,0.14,9
60.7101,-147.3506,16.9,1.8,,,,1.01,,0.2,,
61.0328,-150.245,41.2,2,,,,0.82,,0.7,,
34.0281667,-117.2083333,9.16,0.96,26,87,0.07999,0.13,0.22,0.59,0.136,21
19.6385,-65.7398,36,3.76,12,282,1.4044,0.29,2.41,18.37,0.08,6
39.3623,-119.9641,5.4,1.1,16,102.99,0.079,0.1247,,1.8,0.24,6
30.6307,129.6367,222.938,4.2,40,112,1.121,0.55,4.81,7.68,0.079,45
-4.664,153.1238,56.558,5,105,83,7.563,0.72,9.72,6.161,0.093,11
58.17483333,-155.3583333,1.73,-0.1,9,79,,0.05,0.19,0.6,0.161006859,9
36.4656667,-121.0388333,8.11,1.24,25,142,0.01859,0.07,0.26,0.33,0.181,16
64.5985,-149.6776,0,1.3,,,,0.8,,0.5,,
33.4446667,-116.636,4.71,0.39,19,100,0.05734,0.12,0.2,0.39,0.127,11
58.24583333,-155.135,1.3,-0.15,6,122,,0.08,0.31,1.36,0.197862435,6
58.25583333,-155.1221667,-2.2,-1.11,4,211,,0.09,1.18,3.81,0.072196676,4
52.169,-173.7738,121.09,3.9,20,187,1.41,0.56,9.72,6.969,0.083,38
58.265,-155.1024,0,1,,,,0.47,,26.8,,
60.04183333,-153.0948333,-1.29,-0.27,5,106,,0.17,0.74,9.61,0.43335218,5
19.50966667,-65.7565,63.57,3.41,13,280,1.277,0.33,3.97,11.48,0.058339802,7
